City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,howard springs,-12.497,131.047,28.32,40,0,0.76,AU,1720084323
84,swakopmund,-22.6833,14.5333,16.43,58,0,1.39,NA,1720084324
85,imbituba,-28.24,-48.6703,16.59,90,100,3.12,BR,1720084326
86,tadine,-21.55,167.8833,21.33,88,0,5.44,NC,1720084327
87,bad salzdetfurth,52.0578,10.0058,16.86,75,98,6.64,DE,1720084329
88,usogorsk,63.4106,48.6872,22.5,48,11,6.87,RU,1720084330
89,oamaru,-45.0784,170.9801,4.5,70,81,2.29,NZ,1720084332
90,east tamworth,-31.0894,150.9436,9.77,62,1,4.63,AU,1720084333
91,bundaberg,-24.85,152.35,16.79,84,92,1.34,AU,1720084335
92,pacasmayo,-7.4006,-79.5714,18.06,89,85,2.67,PE,1720084336
93,aral,40.5156,81.2636,34.24,14,99,2.5,CN,1720084338
94,carnarvon,-24.8667,113.6333,21.36,33,0,7.21,AU,1720084339
95,isafjordur,66.0755,-23.124,7.02,76,100,7.72,IS,1720084341
96,cambria,35.5641,-121.0808,20.48,70,0,1.24,US,1720084342
97,atafu village,-8.5421,-172.5159,28.76,78,55,10.65,TK,1720084344
98,acala,16.5667,-92.8,19.27,88,0,1.5,MX,1720084345
99,freetown,8.484,-13.2299,22.84,94,75,3.6,SL,1720084347
100,naze,28.3667,129.4833,28.23,77,47,2.2,JP,1720084348
101,georgetown,5.4112,100.3354,28.96,70,20,1.54,MY,1720084245
102,jamestown,42.097,-79.2353,22.77,100,100,1.54,US,1720084152
103,xinzhou,38.4092,112.7333,23.22,74,58,4.11,CN,1720084353
104,copan,14.8333,-89.15,20.3,98,81,0.96,HN,1720084354
105,tan-tan,28.438,-11.1032,19.97,88,100,6.17,MA,1720084356
106,saipan,15.1355,145.701,29.39,74,40,3.6,MP,1720084357
107,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,100,100,3.0,RU,1720084359
108,hualien city,23.9769,121.6044,30.31,80,19,2.34,TW,1720084361
109,margate,51.3813,1.3862,16.84,54,0,7.35,GB,1720084362
110,codrington,-38.2667,141.9667,8.69,88,12,3.34,AU,1720084364
111,west bay,19.3667,-81.4167,26.04,94,100,13.38,KY,1720084365
112,wanning,18.8003,110.3967,29.6,72,100,3.51,CN,1720084367
113,tiksi,71.6872,128.8694,2.63,90,90,4.45,RU,1720084368
114,cabo san lucas,22.8909,-109.9124,26.61,64,5,2.53,MX,1720084184
115,kerikeri,-35.2268,173.9474,6.62,90,4,1.79,NZ,1720084371
116,fort saskatchewan,53.7168,-113.2187,13.34,94,56,2.68,CA,1720084373
117,longyearbyen,78.2186,15.6401,7.91,61,75,7.72,SJ,1720084374
118,sao jose da coroa grande,-8.8978,-35.1478,24.41,69,27,4.57,BR,1720084376
119,kapuskasing,49.4169,-82.4331,17.05,82,100,4.12,CA,1720084377
120,mahanje,-9.9333,35.3333,25.16,45,69,2.04,TZ,1720084379
121,vodnyy,63.5046,53.4095,26.66,34,12,6.74,RU,1720084380
122,swift current,50.2834,-107.8014,13.45,94,40,4.63,CA,1720084382
123,yokadouma,3.5167,15.05,29.16,56,22,1.65,CM,1720084384
124,embi,48.8264,58.1442,30.16,34,0,4.66,KZ,1720084387
125,st. john's,47.5649,-52.7093,11.2,99,75,0.0,CA,1720084388
126,labrador city,52.9463,-66.9114,13.99,92,100,5.81,CA,1720084390
127,ulsteinvik,62.3432,5.8487,15.5,68,43,2.98,NO,1720084391
128,alice springs,-23.7,133.8833,9.75,53,4,3.6,AU,1720084393
129,mana,5.6592,-53.7767,24.9,91,19,3.22,GF,1720084394
130,udachny,66.4167,112.4,18.75,30,9,5.13,RU,1720084397
131,wynyard,-41.0,145.7167,6.06,81,0,2.33,AU,1720084399
132,gilgit,35.9221,74.3087,32.35,29,31,1.39,PK,1720084400
133,maralal,1.0968,36.698,22.75,48,8,2.42,KE,1720084402
134,labuan,5.2767,115.2417,28.83,76,100,5.27,MY,1720084404
135,berezovyy,51.6667,135.7,23.69,87,100,2.44,RU,1720084405
136,tura,25.5198,90.2201,27.68,84,100,3.94,IN,1720084407
137,wilhelmsburg,48.1057,15.6054,21.71,81,48,6.83,AT,1720084408
138,ust-nera,64.5667,143.2,15.99,82,87,3.65,RU,1720084410
139,afaahiti,-17.75,-149.2833,23.93,78,65,9.83,PF,1720084411
140,bethel,41.3712,-73.414,19.95,79,50,1.37,US,1720084413
141,holualoa,19.6228,-155.9522,21.42,83,57,0.45,US,1720084414
142,yuzhno-kurilsk,44.0306,145.8556,14.86,93,48,1.48,RU,1720084416
143,minas de marcona,-15.2119,-75.1103,9.63,93,29,2.19,PE,1720084417
144,tongliao,43.6125,122.2653,22.35,59,100,2.0,CN,1720084419
145,punta arenas,-53.15,-70.9167,4.06,70,100,5.14,CL,1720084420
146,santiago de cao,-7.9589,-79.2392,18.07,88,100,1.03,PE,1720084422
147,sunne,59.8376,13.143,14.23,91,100,3.61,SE,1720084423
148,tanaina,61.6269,-149.4281,12.71,78,20,0.45,US,1720084425
149,saint-joseph,-21.3667,55.6167,22.21,75,66,6.46,RE,1720084426
150,kindberg,47.5,15.45,19.33,48,94,0.79,AT,1720084428
151,smithers,54.7804,-127.1743,9.18,81,0,0.0,CA,1720084430
152,galle,6.0367,80.217,29.32,70,91,4.7,LK,1720084431
153,talnakh,69.4865,88.3972,16.21,53,99,4.35,RU,1720084433
154,chonchi,-42.6128,-73.8092,1.18,90,28,1.54,CL,1720084436
155,maksatikha,57.797,35.8825,22.91,61,100,1.87,RU,1720084437
156,vadso,70.0744,29.7487,11.49,71,100,3.6,NO,1720084439
157,new plymouth,-39.0667,174.0833,6.0,100,3,3.91,NZ,1720084197
158,klyuchi,52.2667,79.1667,22.91,54,98,0.9,RU,1720084442
159,kwang binh,17.4833,106.6,31.22,69,87,4.89,VN,1720084443
160,socorro,31.6546,-106.3033,28.92,40,82,1.74,US,1720084445
161,badger,64.8,-147.5333,13.32,82,100,4.93,US,1720084446
162,awjilah,29.1081,21.2869,32.18,31,0,6.7,LY,1720084448
163,ontario,34.0633,-117.6509,24.26,68,0,1.54,US,1720084362
164,cestos city,5.46,-9.5828,26.23,71,100,3.42,LR,1720084451
165,haiku-pauwela,20.9219,-156.3051,23.91,84,40,6.26,US,1720084452
166,kavieng,-2.5744,150.7967,28.06,78,100,5.46,PG,1720084454
167,mchinji,-13.7984,32.8802,24.61,33,42,2.04,MW,1720084455
168,ormara,25.2088,64.6357,28.29,82,77,5.22,PK,1720084457
169,nagqu,31.5,92.0,16.11,42,98,4.0,CN,1720084458
170,merizo village,13.2658,144.6691,29.31,87,32,5.18,GU,1720084460
171,puerto aysen,-45.4,-72.7,0.19,97,92,2.45,CL,1720084461
172,nema,57.5067,50.5011,32.23,42,20,3.11,RU,1720084463
173,askoy,60.4092,5.226,16.16,55,75,4.12,NO,1720084466
174,onega,63.9061,38.1404,17.99,65,27,3.25,RU,1720084467
175,east london,-33.0153,27.9116,17.52,48,0,12.35,ZA,1720084469
176,brookings,44.3114,-96.7984,19.0,94,75,2.06,US,1720084470
177,ponta delgada,37.7333,-25.6667,21.4,68,40,3.6,PT,1720084472
178,cockburn town,21.4612,-71.1419,27.84,85,84,6.6,TC,1720084473
179,santo amaro da imperatriz,-27.6881,-48.7786,16.56,88,100,0.91,BR,1720084476
180,college,64.8569,-147.8028,13.37,84,100,2.24,US,1720084478
181,san antonio de pale,-1.4014,5.6325,23.7,83,98,5.04,GQ,1720084479
